Epoch 72/100, Blur train acc: 95.8620%, Blur train loss: 0.1498, Blur val acc: 83.10%, Blur val loss: 0.9669
Epoch 73/100, Blur train acc: 96.3084%, Blur train loss: 0.1366, Blur val acc: 82.49%, Blur val loss: 1.0026
Epoch 74/100, Blur train acc: 96.4071%, Blur train loss: 0.1291, Blur val acc: 82.35%, Blur val loss: 0.9771
Epoch 75/100, Blur train acc: 96.4543%, Blur train loss: 0.1279, Blur val acc: 83.31%, Blur val loss: 0.9537
Epoch 76/100, Blur train acc: 96.4715%, Blur train loss: 0.1296, Blur val acc: 82.99%, Blur val loss: 0.9807
Epoch 77/100, Blur train acc: 96.5616%, Blur train loss: 0.1254, Blur val acc: 82.88%, Blur val loss: 0.9923
Epoch 78/100, Blur train acc: 96.8922%, Blur train loss: 0.1183, Blur val acc: 83.38%, Blur val loss: 0.9442
Epoch 79/100, Blur train acc: 96.7462%, Blur train loss: 0.1175, Blur val acc: 83.24%, Blur val loss: 0.9620
Epoch 80/100, Blur train acc: 96.9995%, Blur train loss: 0.1097, Blur val acc: 83.56%, Blur val loss: 0.9500
Epoch 81/100, Blur train acc: 96.7806%, Blur train loss: 0.1167, Blur val acc: 83.70%, Blur val loss: 0.9306
Epoch 82/100, Blur train acc: 96.9523%, Blur train loss: 0.1166, Blur val acc: 83.52%, Blur val loss: 0.9398
Epoch 83/100, Blur train acc: 97.3086%, Blur train loss: 0.0996, Blur val acc: 83.49%, Blur val loss: 0.9418
Epoch 84/100, Blur train acc: 97.1969%, Blur train loss: 0.1028, Blur val acc: 83.88%, Blur val loss: 0.9345
Epoch 85/100, Blur train acc: 97.1283%, Blur train loss: 0.1025, Blur val acc: 84.06%, Blur val loss: 0.9132
Epoch 86/100, Blur train acc: 97.1755%, Blur train loss: 0.1017, Blur val acc: 83.59%, Blur val loss: 0.9242
Epoch 87/100, Blur train acc: 97.1111%, Blur train loss: 0.1035, Blur val acc: 83.63%, Blur val loss: 0.9243
Epoch 88/100, Blur train acc: 97.2871%, Blur train loss: 0.0989, Blur val acc: 83.56%, Blur val loss: 0.9138
Epoch 89/100, Blur train acc: 97.3214%, Blur train loss: 0.1010, Blur val acc: 83.95%, Blur val loss: 0.9139
Epoch 90/100, Blur train acc: 97.2012%, Blur train loss: 0.1029, Blur val acc: 83.77%, Blur val loss: 0.9078
Epoch 91/100, Blur train acc: 97.3086%, Blur train loss: 0.0997, Blur val acc: 83.59%, Blur val loss: 0.9183
Epoch 92/100, Blur train acc: 97.3558%, Blur train loss: 0.0930, Blur val acc: 83.88%, Blur val loss: 0.9091
Epoch 93/100, Blur train acc: 97.2828%, Blur train loss: 0.1007, Blur val acc: 83.88%, Blur val loss: 0.9017
Epoch 94/100, Blur train acc: 97.4073%, Blur train loss: 0.0976, Blur val acc: 83.95%, Blur val loss: 0.9021
Epoch 95/100, Blur train acc: 97.5790%, Blur train loss: 0.0890, Blur val acc: 83.77%, Blur val loss: 0.9002
Epoch 96/100, Blur train acc: 97.3815%, Blur train loss: 0.0942, Blur val acc: 83.88%, Blur val loss: 0.9024
Epoch 97/100, Blur train acc: 97.4717%, Blur train loss: 0.0919, Blur val acc: 84.02%, Blur val loss: 0.9006
Epoch 98/100, Blur train acc: 97.4030%, Blur train loss: 0.0906, Blur val acc: 83.95%, Blur val loss: 0.9007
Epoch 99/100, Blur train acc: 97.2613%, Blur train loss: 0.0978, Blur val acc: 83.91%, Blur val loss: 0.9013
Epoch 100/100, Blur train acc: 97.5704%, Blur train loss: 0.0889, Blur val acc: 83.91%, Blur val loss: 0.9013
Blur Test Accuracy: 84.5881%
