Epoch 79/100, Train acc: 80.5413%, Train loss: 0.5785, Val acc: 65.04%, Val loss: 1.2863
Epoch 80/100, Train acc: 81.1384%, Train loss: 0.5749, Val acc: 63.09%, Val loss: 1.2819
Epoch 81/100, Train acc: 81.0603%, Train loss: 0.5586, Val acc: 63.96%, Val loss: 1.2750
Epoch 82/100, Train acc: 80.9766%, Train loss: 0.5690, Val acc: 64.55%, Val loss: 1.2627
Epoch 83/100, Train acc: 80.9821%, Train loss: 0.5650, Val acc: 63.96%, Val loss: 1.2681
Epoch 84/100, Train acc: 80.9319%, Train loss: 0.5674, Val acc: 64.55%, Val loss: 1.2753
Epoch 85/100, Train acc: 80.9375%, Train loss: 0.5648, Val acc: 64.36%, Val loss: 1.2583
Epoch 86/100, Train acc: 81.4676%, Train loss: 0.5572, Val acc: 64.36%, Val loss: 1.2794
Epoch 87/100, Train acc: 81.6685%, Train loss: 0.5520, Val acc: 63.57%, Val loss: 1.2776
Epoch 88/100, Train acc: 81.7690%, Train loss: 0.5463, Val acc: 64.55%, Val loss: 1.2700
Epoch 89/100, Train acc: 81.5290%, Train loss: 0.5539, Val acc: 64.16%, Val loss: 1.2740
Epoch 90/100, Train acc: 81.6239%, Train loss: 0.5461, Val acc: 63.48%, Val loss: 1.2817
Epoch 91/100, Train acc: 82.2098%, Train loss: 0.5412, Val acc: 63.48%, Val loss: 1.2845
Epoch 92/100, Train acc: 82.0926%, Train loss: 0.5471, Val acc: 63.87%, Val loss: 1.2802
Epoch 93/100, Train acc: 81.9866%, Train loss: 0.5460, Val acc: 64.16%, Val loss: 1.2854
Epoch 94/100, Train acc: 82.0536%, Train loss: 0.5420, Val acc: 64.06%, Val loss: 1.2855
Epoch 95/100, Train acc: 82.4665%, Train loss: 0.5339, Val acc: 63.67%, Val loss: 1.2804
Epoch 96/100, Train acc: 81.8415%, Train loss: 0.5444, Val acc: 63.67%, Val loss: 1.2853
Epoch 97/100, Train acc: 81.9754%, Train loss: 0.5448, Val acc: 62.99%, Val loss: 1.2836
Epoch 98/100, Train acc: 82.3996%, Train loss: 0.5374, Val acc: 63.18%, Val loss: 1.2845
Epoch 99/100, Train acc: 81.9029%, Train loss: 0.5442, Val acc: 63.09%, Val loss: 1.2850
Epoch 100/100, Train acc: 81.6239%, Train loss: 0.5446, Val acc: 62.99%, Val loss: 1.2851
