Epoch 76/100, Clear train acc: 97.8666%, Clear train loss: 0.0743, Clear val acc: 86.83%, Clear val loss: 0.7963
Epoch 77/100, Clear train acc: 98.0855%, Clear train loss: 0.0691, Clear val acc: 87.39%, Clear val loss: 0.8078
Epoch 78/100, Clear train acc: 98.1284%, Clear train loss: 0.0637, Clear val acc: 87.29%, Clear val loss: 0.7689
Epoch 79/100, Clear train acc: 98.3087%, Clear train loss: 0.0627, Clear val acc: 87.25%, Clear val loss: 0.7915
Epoch 80/100, Clear train acc: 98.1327%, Clear train loss: 0.0650, Clear val acc: 87.46%, Clear val loss: 0.7848
Epoch 81/100, Clear train acc: 98.3302%, Clear train loss: 0.0624, Clear val acc: 87.00%, Clear val loss: 0.7802
Epoch 82/100, Clear train acc: 98.3388%, Clear train loss: 0.0624, Clear val acc: 87.04%, Clear val loss: 0.7516
Epoch 83/100, Clear train acc: 98.3302%, Clear train loss: 0.0564, Clear val acc: 86.90%, Clear val loss: 0.7844
Epoch 84/100, Clear train acc: 98.4160%, Clear train loss: 0.0544, Clear val acc: 87.57%, Clear val loss: 0.7710
Epoch 85/100, Clear train acc: 98.4504%, Clear train loss: 0.0544, Clear val acc: 87.46%, Clear val loss: 0.7330
Epoch 86/100, Clear train acc: 98.4761%, Clear train loss: 0.0565, Clear val acc: 87.75%, Clear val loss: 0.7409
Epoch 87/100, Clear train acc: 98.4933%, Clear train loss: 0.0530, Clear val acc: 87.57%, Clear val loss: 0.7321
Epoch 88/100, Clear train acc: 98.6736%, Clear train loss: 0.0479, Clear val acc: 87.61%, Clear val loss: 0.7431
Epoch 89/100, Clear train acc: 98.6264%, Clear train loss: 0.0492, Clear val acc: 87.61%, Clear val loss: 0.7405
Epoch 90/100, Clear train acc: 98.6049%, Clear train loss: 0.0516, Clear val acc: 87.71%, Clear val loss: 0.7369
Epoch 91/100, Clear train acc: 98.5276%, Clear train loss: 0.0541, Clear val acc: 87.75%, Clear val loss: 0.7478
Epoch 92/100, Clear train acc: 98.7337%, Clear train loss: 0.0442, Clear val acc: 88.00%, Clear val loss: 0.7506
Epoch 93/100, Clear train acc: 98.6478%, Clear train loss: 0.0490, Clear val acc: 88.07%, Clear val loss: 0.7508
Epoch 94/100, Clear train acc: 98.6006%, Clear train loss: 0.0496, Clear val acc: 88.39%, Clear val loss: 0.7381
Epoch 95/100, Clear train acc: 98.6521%, Clear train loss: 0.0498, Clear val acc: 88.00%, Clear val loss: 0.7454
Epoch 96/100, Clear train acc: 98.7122%, Clear train loss: 0.0446, Clear val acc: 87.96%, Clear val loss: 0.7440
Epoch 97/100, Clear train acc: 98.6092%, Clear train loss: 0.0513, Clear val acc: 88.07%, Clear val loss: 0.7428
Epoch 98/100, Clear train acc: 98.6393%, Clear train loss: 0.0485, Clear val acc: 88.10%, Clear val loss: 0.7422
Epoch 99/100, Clear train acc: 98.5620%, Clear train loss: 0.0521, Clear val acc: 88.14%, Clear val loss: 0.7420
Epoch 100/100, Clear train acc: 98.6178%, Clear train loss: 0.0483, Clear val acc: 88.14%, Clear val loss: 0.7419
Clear Test Accuracy: 88.7784
