Epoch 88/100, Clear train acc: 90.4743%, Clear train loss: 0.2799, Clear val acc: 75.98%, Clear val loss: 0.9770
Epoch 89/100, Clear train acc: 90.7757%, Clear train loss: 0.2740, Clear val acc: 75.88%, Clear val loss: 0.9703
Epoch 90/100, Clear train acc: 90.8315%, Clear train loss: 0.2736, Clear val acc: 75.59%, Clear val loss: 0.9845
Epoch 91/100, Clear train acc: 90.9487%, Clear train loss: 0.2695, Clear val acc: 75.49%, Clear val loss: 0.9983
Epoch 92/100, Clear train acc: 91.2556%, Clear train loss: 0.2586, Clear val acc: 76.07%, Clear val loss: 0.9762
Epoch 93/100, Clear train acc: 90.7199%, Clear train loss: 0.2799, Clear val acc: 75.39%, Clear val loss: 0.9851
Epoch 94/100, Clear train acc: 90.8705%, Clear train loss: 0.2721, Clear val acc: 75.59%, Clear val loss: 0.9877
Epoch 95/100, Clear train acc: 90.9319%, Clear train loss: 0.2624, Clear val acc: 75.88%, Clear val loss: 0.9833
Epoch 96/100, Clear train acc: 91.1049%, Clear train loss: 0.2635, Clear val acc: 76.07%, Clear val loss: 0.9743
Epoch 97/100, Clear train acc: 91.2723%, Clear train loss: 0.2561, Clear val acc: 76.17%, Clear val loss: 0.9744
Epoch 98/100, Clear train acc: 91.1272%, Clear train loss: 0.2657, Clear val acc: 75.88%, Clear val loss: 0.9781
Epoch 99/100, Clear train acc: 91.3449%, Clear train loss: 0.2588, Clear val acc: 75.78%, Clear val loss: 0.9791
Epoch 100/100, Clear train acc: 91.3504%, Clear train loss: 0.2616, Clear val acc: 75.68%, Clear val loss: 0.9792
